latitude,longitude,ignition_date,area_ha,state,shape_area
-31.03335572,149.80791624770563,2004-11-30T00:00:00.000Z,90,NSW (New South Wales),8.5450964434e-05
-29.63685298,153.2808931017642,1899-11-30T00:00:00.000Z,550,NSW (New South Wales),0.000512741
-37.39717179,143.90017755772024,1977-02-12T00:00:00.000Z,5426,VIC (Victoria),0.005520555
-25.59097487,147.7910719519847,2004-10-01T00:00:00.000Z,963,QLD (Queensland),0.000865211
-36.24108399,149.9759083738648,1899-11-30T00:00:00.000Z,286,NSW (New South Wales),0.000286446
-28.22346514,153.28003470050447,1986-10-25T00:00:00.000Z,45,QLD (Queensland),4.1009114284e-05
-26.46555789,153.08258422136396,1986-09-01T00:00:00.000Z,2072,QLD (Queensland),0.001875421
-14.14588279,144.23296149936172,2000-06-23T00:00:00.000Z,539,QLD (Queensland),0.000451211
-28.77202924,151.9127921379362,2002-10-17T00:00:00.000Z,297,NSW (New South Wales),0.0002743
-25.60738667,121.30805036247634,2003-01-22T00:00:00.000Z,436,WA (Western Australia),0.000391641
-32.39573345,152.05033594032528,2001-01-21T00:00:00.000Z,85,NSW (New South Wales),8.1631825196e-05
-26.7821564,152.96091853886625,1985-01-01T00:00:00.000Z,33,QLD (Queensland),2.961449286e-05
-27.34540064,152.74589917114014,1993-12-21T00:00:00.000Z,3353,QLD (Queensland),0.003057985
-37.43798594,147.19325927376443,2019-02-28T00:00:00.000Z,4128,VIC (Victoria),0.00437258
-34.91898986,150.6299060990045,1899-11-30T00:00:00.000Z,13,NSW (New South Wales),1.2536042959e-05
-33.84195382,136.0710432613852,1996-11-11T00:00:00.000Z,94,SA (South Australia),9.6794835372e-05
-35.27159171,141.54861250096553,2019-11-25T00:00:00.000Z,120,VIC (Victoria),0.000118541
-33.95037545,149.9571886560442,1899-11-30T00:00:00.000Z,152,NSW (New South Wales),0.000148335
-31.3219912,152.90678319708525,1899-11-30T00:00:00.000Z,9145,NSW (New South Wales),0.008695676
-34.7936915,138.81043821937635,1987-02-02T00:00:00.000Z,89,SA (South Australia),8.7728409653e-05
-40.93258995,145.58082530007042,1983-01-22T00:00:00.000Z,17,TAS (Tasmania),1.856514973e-05
-29.45076858,115.49252532398488,2012-11-21T00:00:00.000Z,27,WA (Western Australia),2.5198760341e-05
-29.82090083,153.25101992685578,1899-11-30T00:00:00.000Z,1390,NSW (New South Wales),0.001374497
-28.23372157,152.49811712025695,1981-11-17T00:00:00.000Z,275,QLD (Queensland),0.000253223
-38.59264619,143.37624081746844,1992-01-01T00:00:00.000Z,166,VIC (Victoria),0.000171186
-26.84332215,148.9298140225593,2019-04-15T00:00:00.000Z,440,QLD (Queensland),0.000399472
-38.0107202,141.06678059889992,1936-01-01T00:00:00.000Z,85,VIC (Victoria),8.7328288373e-05
-26.32769357,151.94759696187413,2003-08-01T00:00:00.000Z,145,QLD (Queensland),0.000131354
-37.32005423,145.12866487783998,1982-01-01T00:00:00.000Z,1087,VIC (Victoria),0.001104456
-33.27892888,151.36272288462615,1962-09-07T00:00:00.000Z,14,NSW (New South Wales),1.3619470792e-05
-33.51025984,151.2967277006698,2003-01-31T00:00:00.000Z,187,NSW (New South Wales),0.000181561
